Plot,plot_id1,stock_seed_id,plot_block,plot_rep,StalkLodgingRawcount,Stand_count,Success.lodged,Failure.number_not_lodged,PC1,PC2,PC3,disease
W401,16GD0001,Ames_27194_,1,1,0,19,0,19,NA,NA,NA,672.5
W22,16GD0002,NSL_30053_,1,1,0,12,NA,NA,16.74351841,-24.99420427,10.76675356,995
NC360,16GD0003,Ames_27176_,1,1,6.666666667,15,1,14,-23.28435615,-10.61430317,-34.10685192,642.5
NC298,16GD0004,Ames_27261_,1,1,0,20,0,20,-63.89923855,52.08071054,-5.816836427,772.5
NC348,16GD0005,Ames_27170_,1,1,0,20,0,20,-62.28440939,51.53954713,-6.806368854,785
AB28A,16GD0006,Ames_18999_,1,1,45,20,9,11,-0.71922483,-12.29781207,-4.335430412,1575
R4,16GD0007,Ames_27187_,1,1,0,15,0,15,19.3061223,-19.67961739,-0.640151215,512.5
B75,16GD0008,PI_608774_,1,1,0,18,0,18,11.00776858,-17.10043718,2.076878176,320
CML321,16GD0009,Ames_27095_,1,1,23.52941176,17,4,13,-42.04858384,24.24700811,1.31529516,367.5
CML323,16GD0010,Ames_27097_,1,1,0,20,0,20,-26.07168123,14.55539057,2.768178046,1105
NC292,16GD0011,Ames_27142_,1,1,0,17,0,17,NA,NA,NA,965
CQ184A,16GD0012,011:196-1,1,1,0,13,NA,NA,NA,NA,NA,NA
CI187-2,16GD0013,Ames_26138_,1,1,0,0,NA,NA,24.45758619,-8.019804657,-21.3981206,NA
SA24,16GD0014,Ames_27188_,1,1,0,0,NA,NA,-0.703594899,-41.25162972,-16.09474919,NA
FR4326,16GD0015,011:292-5,1,1,0,0,NA,NA,NA,NA,NA,NA
CML9,16GD0016,PI_595530_,1,1,0,0,NA,NA,NA,NA,NA,NA
NC328,16GD0017,Ames_27160_,1,1,0,20,0,20,103.2013342,73.48146604,-51.42264322,482.5
L578,16GD0018,Ames_27132_,1,1,0,19,0,19,-16.16367433,1.37733409,-5.124291298,1492.5
A239,16GD0019,Ames_23405_,2,1,47.05882353,17,8,9,15.64477622,-18.56891165,10.77078731,1507.5
CM7,16GD0020,Ames_27070_,2,1,66.66666667,18,12,6,3.155041535,-19.64861389,3.907612291,1045
NC362,16GD0021,Ames_27177_,2,1,0,18,0,18,-19.10817569,-25.44016492,-41.9052686,725
U267Y,16GD0022,Ames_27191_,2,1,0,18,0,18,-14.71476323,-4.045317033,2.965573786,495
CQ184A,16GD0023,011:196-1,2,1,0,14,0,14,NA,NA,NA,NA
CO109,16GD0024,PI_587125_,2,1,0,17,0,17,NA,NA,NA,965
TZI18,16GD0025,PI_506253_,2,1,16.66666667,18,3,15,-41.20802973,27.8476724,2.350629263,1895
MS71,16GD0026,PI_587137_,2,1,0,17,0,17,12.09010508,-21.2396621,7.008893024,480
CI31A,16GD0027,Ames_21512_,2,1,0,18,0,18,0.504381342,-12.291575,-0.339863231,415
NC320,16GD0028,Ames_27156_,2,1,70,20,14,6,-21.39913997,0.896529199,3.420917341,1510
VA59,16GD0029,Ames_19016_,2,1,0,19,0,19,-3.724553572,-31.27390685,-21.47115268,272.5
F2834T,16GD0030,Ames_27112_,2,1,0,18,0,18,-22.97010946,4.708009328,5.122217682,400
NC350,16GD0031,Ames_27171_,2,1,0,19,0,19,-57.50082902,46.13946815,-1.947513811,862.5
CML103,16GD0032,Ames_27081_,2,1,15.78947368,19,3,16,-28.44430472,16.55204844,1.236552253,1105
FR4326,16GD0033,011:292-5,2,1,0,20,0,20,NA,NA,NA,305
NC324,16GD0034,Ames_27158_,2,1,0,16,0,16,56.46249013,43.74653069,-60.5384587,335
CML91,16GD0035,Ames_27079_,2,1,0,19,0,19,-29.04103703,16.84230111,5.13657049,785
NC358,16GD0036,Ames_27175_,2,1,30,20,6,14,-45.3469773,29.43755185,-0.503309909,1477.5
