simulated.data...1.	rep.num.plants.per.plot..nrow.simulated.data..	binomial.rvs.1	binomial.rvs.2	binomial.rvs.3	binomial.rvs.4	binomial.rvs.5	binomial.rvs.6	binomial.rvs.7	binomial.rvs.8	binomial.rvs.9	binomial.rvs.10	binomial.rvs.11	binomial.rvs.12	binomial.rvs.13	binomial.rvs.14	binomial.rvs.15	binomial.rvs.16	binomial.rvs.17	binomial.rvs.18	binomial.rvs.19	binomial.rvs.20	binomial.rvs.21	binomial.rvs.22	binomial.rvs.23	binomial.rvs.24	binomial.rvs.25	binomial.rvs.26	binomial.rvs.27	binomial.rvs.28	binomial.rvs.29	binomial.rvs.30	binomial.rvs.31	binomial.rvs.32	binomial.rvs.33	binomial.rvs.34	binomial.rvs.35	binomial.rvs.36	binomial.rvs.37	binomial.rvs.38	binomial.rvs.39	binomial.rvs.40	binomial.rvs.41	binomial.rvs.42	binomial.rvs.43	binomial.rvs.44	binomial.rvs.45	binomial.rvs.46	binomial.rvs.47	binomial.rvs.48	binomial.rvs.49	binomial.rvs.50	binomial.rvs.51	binomial.rvs.52	binomial.rvs.53	binomial.rvs.54	binomial.rvs.55	binomial.rvs.56	binomial.rvs.57	binomial.rvs.58	binomial.rvs.59	binomial.rvs.60	binomial.rvs.61	binomial.rvs.62	binomial.rvs.63	binomial.rvs.64	binomial.rvs.65	binomial.rvs.66	binomial.rvs.67	binomial.rvs.68	binomial.rvs.69	binomial.rvs.70	binomial.rvs.71	binomial.rvs.72	binomial.rvs.73	binomial.rvs.74	binomial.rvs.75	binomial.rvs.76	binomial.rvs.77	binomial.rvs.78	binomial.rvs.79	binomial.rvs.80	binomial.rvs.81	binomial.rvs.82	binomial.rvs.83	binomial.rvs.84	binomial.rvs.85	binomial.rvs.86	binomial.rvs.87	binomial.rvs.88	binomial.rvs.89	binomial.rvs.90	binomial.rvs.91	binomial.rvs.92	binomial.rvs.93	binomial.rvs.94	binomial.rvs.95	binomial.rvs.96	binomial.rvs.97	binomial.rvs.98	binomial.rvs.99	binomial.rvs.100
4226	25	21	21	19	20	18	23	19	25	22	25	25	24	24	22	23	23	20	21	22	22	19	20	21	20	23	23	22	21	22	22	24	22	23	20	20	21	20	20	23	22	21	24	24	19	21	17	21	21	21	23	20	21	23	21	24	22	20	24	21	24	19	21	24	21	24	20	22	22	21	24	20	25	23	19	22	24	22	23	23	20	22	24	22	22	21	19	24	21	20	22	20	23	20	24	24	24	20	24	20	21
4722	25	16	16	15	12	14	12	11	15	11	12	14	12	13	11	15	16	14	11	10	13	16	19	11	14	16	13	10	17	11	14	14	9	12	13	11	16	17	9	13	12	13	12	14	12	10	12	10	13	14	14	13	14	14	15	15	9	12	14	12	12	13	11	14	9	14	10	13	13	14	17	15	17	11	17	10	16	10	12	12	16	16	11	10	10	14	8	13	12	11	18	15	12	14	14	13	16	13	11	12	16
33-16	25	21	23	22	23	21	22	21	20	22	22	23	24	25	19	23	20	18	19	24	22	22	19	23	21	23	22	23	22	22	22	20	21	22	21	23	20	22	17	23	20	17	23	20	22	21	21	20	23	21	25	22	20	22	25	25	21	20	21	20	19	20	20	21	23	23	16	24	21	22	22	21	19	23	23	23	22	22	19	21	22	22	21	18	19	21	22	17	21	21	19	21	24	22	21	22	23	21	22	19	25
38-11	25	22	22	19	19	24	20	21	20	22	22	21	22	23	20	22	24	23	21	21	25	23	21	23	22	22	22	18	20	23	22	21	19	23	21	19	22	22	19	20	23	22	20	24	24	23	22	24	22	23	20	24	21	23	22	21	23	22	23	21	17	22	17	22	20	22	21	21	23	22	19	22	22	23	22	19	22	18	20	22	20	22	24	19	22	20	23	17	22	23	20	16	18	22	21	19	23	18	22	24	20
A188	25	21	23	23	23	24	20	19	19	21	20	23	22	16	20	19	23	22	21	22	20	22	19	19	22	20	22	23	24	23	23	21	19	22	21	21	17	22	20	22	21	22	21	23	19	19	22	20	16	19	20	22	23	21	22	23	22	24	23	19	24	24	22	22	23	19	21	22	22	19	18	23	20	24	19	23	20	22	21	21	20	22	20	21	25	25	18	20	19	20	18	19	20	19	22	17	21	20	22	22	21
A239	25	24	21	23	25	21	23	23	23	22	20	23	23	21	20	22	19	19	18	20	24	19	21	22	23	21	24	23	24	18	19	23	22	21	23	23	24	19	20	25	23	22	22	22	23	21	19	18	21	23	20	20	23	24	23	22	22	24	22	20	22	24	23	23	22	22	20	23	22	19	22	22	22	22	22	22	22	24	21	24	23	21	21	20	21	21	22	25	22	22	19	22	23	22	23	23	23	20	21	21	22
A441-5	25	21	21	21	21	22	18	23	21	24	23	19	25	22	23	21	19	23	25	19	22	23	21	21	21	19	23	20	20	21	25	21	21	23	23	23	23	23	24	20	22	19	24	19	22	23	22	22	22	23	23	21	20	21	20	24	21	18	21	22	21	20	19	20	21	23	20	22	20	24	23	20	21	23	21	22	21	21	21	20	20	23	21	19	20	23	21	22	22	23	22	23	23	22	21	19	22	22	20	21	21
A554	25	21	20	21	17	23	20	21	22	22	19	20	21	20	23	23	22	21	22	22	24	22	23	20	20	21	20	20	23	22	21	24	24	19	21	17	21	21	21	23	20	21	23	21	24	22	20	24	21	24	19	21	24	21	24	20	22	22	21	24	20	25	23	19	22	24	22	23	23	20	22	24	22	22	21	19	24	21	20	22	20	23	20	24	24	24	20	24	20	21	21	23	19	23	23	17	19	23	22	21	18
A6	25	23	25	18	20	19	21	22	23	21	19	17	22	21	19	21	23	18	23	21	20	24	22	21	23	19	18	24	21	22	21	22	21	22	23	22	23	21	21	21	21	20	20	20	19	24	22	20	22	22	21	23	20	24	20	23	21	21	21	18	20	18	23	18	23	19	23	22	22	19	19	22	23	23	20	24	21	22	22	17	20	22	20	20	21	19	21	23	22	19	24	16	20	21	19	21	20	23	17	18	20
A619	25	12	16	16	11	14	17	16	8	12	12	16	10	13	10	12	10	12	12	11	14	14	12	13	11	15	11	18	10	14	18	11	15	12	13	13	15	10	14	7	12	14	12	7	7	13	14	13	14	16	15	15	14	11	10	19	8	13	12	11	13	16	11	10	11	12	12	16	14	12	12	14	17	15	13	12	18	13	14	15	13	8	12	14	11	11	14	12	16	6	15	14	11	13	14	14	9	7	14	15	13
